### Metadata ###
competition_sd = 0.1
carrying_cap_sd = 1
carrying_cap_opt = 1000
trait_opt = 0
growth_rate = 1
prob_mutation = 1
mutation_sd = 0.001
trait_dist_sp = 0.1

seed = 15614
HPC job ID = local
simulated under comrad 1.11.0
R version 4.0.2 (2020-06-22)

Starting community from: NA
Running for 10000 generations
 
### Simulation output ### 
 
t,z,species,ancestral_species
0,0,#89ae8a,NA
0,0,#89ae8a,NA
0,0,#89ae8a,NA
0,0,#89ae8a,NA
0,0,#89ae8a,NA
0,0,#89ae8a,NA
0,0,#89ae8a,NA
0,0,#89ae8a,NA
0,0,#89ae8a,NA
0,0,#89ae8a,NA
200,0.054387070890561856,#89ae8a,NA
200,0.04479199867920545,#89ae8a,NA
200,0.05811254624894248,#89ae8a,NA
200,0.06371722589351154,#89ae8a,NA
200,-0.03803678171193144,#89ae8a,NA
200,-0.03973818842101528,#89ae8a,NA
200,0.022885539233128336,#89ae8a,NA
200,0.047242336731306254,#89ae8a,NA
200,-0.03566237352681061,#89ae8a,NA
200,0.029794699510086634,#89ae8a,NA
200,-0.038674989338619375,#89ae8a,NA
200,0.05111024364364011,#89ae8a,NA
200,-0.03077556587050731,#89ae8a,NA
200,-0.04180835112123523,#89ae8a,NA
200,-0.027857945528291905,#89ae8a,NA
200,0.031044925267877218,#89ae8a,NA
200,-0.0393904864281643,#89ae8a,NA
200,0.044145307777203754,#89ae8a,NA
200,0.03505536921850385,#89ae8a,NA
200,-0.03288389572913391,#89ae8a,NA
200,0.059740351827756354,#89ae8a,NA
200,0.04574665369918379,#89ae8a,NA
200,0.051691384525492046,#89ae8a,NA
200,-0.016548436733018555,#89ae8a,NA
200,-0.04437548935813271,#89ae8a,NA
200,-0.021605575875731843,#89ae8a,NA
200,0.028730744498372443,#89ae8a,NA
200,-0.022310957557014583,#89ae8a,NA
200,-0.032174861188877586,#89ae8a,NA
200,-0.03050418116635647,#89ae8a,NA
200,-0.03254738779777383,#89ae8a,NA
200,-0.032516049411255,#89ae8a,NA
200,-0.02636371819457397,#89ae8a,NA
200,0.05664007151444766,#89ae8a,NA
200,-0.01827273273061438,#89ae8a,NA
200,-0.031185425984667905,#89ae8a,NA
200,0.05079754448983131,#89ae8a,NA
200,0.04124973418533669,#89ae8a,NA
200,-0.03031930962113534,#89ae8a,NA
200,-0.034709716708739624,#89ae8a,NA
200,0.034264969969163346,#89ae8a,NA
200,-0.03918848063714668,#89ae8a,NA
200,0.03913574774538293,#89ae8a,NA
200,-0.03874639212336089,#89ae8a,NA
200,-0.027347778723968524,#89ae8a,NA
200,-0.039033940644697916,#89ae8a,NA
200,-0.029769458533376435,#89ae8a,NA
200,0.05392625210621176,#89ae8a,NA
200,0.02397730868538625,#89ae8a,NA
200,-0.03226304397321401,#89ae8a,NA
200,-0.03944978199175432,#89ae8a,NA
200,0.04319558475846005,#89ae8a,NA
200,0.04658558941881238,#89ae8a,NA
200,-0.027934831555625886,#89ae8a,NA
200,0.04974251028293384,#89ae8a,NA
200,0.04359200869445004,#89ae8a,NA
200,0.05532467250129038,#89ae8a,NA
400,-0.09218049338683834,#2D5F94,#89ae8a
400,-0.1043275395104223,#2D5F94,#89ae8a
400,0.09868490944286383,#89ae8a,NA
400,-0.09993728076246237,#2D5F94,#89ae8a
400,-0.09652743816437638,#2D5F94,#89ae8a
400,-0.08503355704954559,#2D5F94,#89ae8a
400,0.1057016537552159,#89ae8a,NA
400,0.09725432408599347,#89ae8a,NA
400,0.09745885613396445,#89ae8a,NA
400,0.11753456788203424,#89ae8a,NA
400,0.10512888594342719,#89ae8a,NA
400,0.09015460985067951,#89ae8a,NA
400,-0.09932545511295762,#2D5F94,#89ae8a
400,0.1005565902559051,#89ae8a,NA
400,0.08407111842356167,#89ae8a,NA
400,-0.0976345718262163,#2D5F94,#89ae8a
400,0.09921913906674523,#89ae8a,NA
400,-0.09096656345714246,#2D5F94,#89ae8a
400,0.10077241379096795,#89ae8a,NA
400,-0.10473363262576765,#2D5F94,#89ae8a
400,-0.0835070831548634,#2D5F94,#89ae8a
400,0.0891827829623886,#89ae8a,NA
400,0.09104786515580043,#89ae8a,NA
400,0.10547490404820109,#89ae8a,NA
400,0.10586404794501528,#89ae8a,NA
400,-0.10059236839455866,#2D5F94,#89ae8a
400,-0.09010649463964568,#2D5F94,#89ae8a
400,0.08752684363517022,#89ae8a,NA
400,-0.1123854264208261,#2D5F94,#89ae8a
400,0.11341276799570164,#89ae8a,NA
400,0.10095440955928447,#89ae8a,NA
400,0.10402314758520326,#89ae8a,NA
400,-0.08010868082816965,#2D5F94,#89ae8a
400,0.08456187257268831,#89ae8a,NA
400,0.10487105270823699,#89ae8a,NA
400,-0.09647798728682996,#2D5F94,#89ae8a
400,-0.11400292219227814,#2D5F94,#89ae8a
400,0.1133346900052864,#89ae8a,NA
400,-0.08964863212765228,#2D5F94,#89ae8a
400,0.1086382359118127,#89ae8a,NA
400,0.09386911502867443,#89ae8a,NA
400,0.08721442609800963,#89ae8a,NA
400,-0.09941413924047449,#2D5F94,#89ae8a
400,0.1114615355392654,#89ae8a,NA
400,0.08667741422387154,#89ae8a,NA
400,0.08903735793736367,#89ae8a,NA
400,0.10200468489877465,#89ae8a,NA
400,-0.10217427387360586,#2D5F94,#89ae8a
400,-0.09734621808292489,#2D5F94,#89ae8a
400,0.09591951935885114,#89ae8a,NA
400,-0.09587120499664457,#2D5F94,#89ae8a
400,0.10179576379923452,#89ae8a,NA
400,0.09544318897466,#89ae8a,NA
400,0.09145515814180298,#89ae8a,NA
400,-0.09132541812624159,#2D5F94,#89ae8a
400,-0.09305438911747035,#2D5F94,#89ae8a
400,0.09163956220392927,#89ae8a,NA
400,0.10499640517765198,#89ae8a,NA
400,0.09998093598693893,#89ae8a,NA
400,0.10341209059788238,#89ae8a,NA
400,-0.09862960659082565,#2D5F94,#89ae8a
400,0.10872584137361754,#89ae8a,NA
400,0.08931617921867527,#89ae8a,NA
400,0.09353078715817531,#89ae8a,NA
400,0.10062076971739757,#89ae8a,NA
400,-0.09723530305133292,#2D5F94,#89ae8a
400,0.11192259059380122,#89ae8a,NA
400,0.0947325753196996,#89ae8a,NA
400,0.08627480841139541,#89ae8a,NA
400,0.09053278729048206,#89ae8a,NA
400,0.09493875106993639,#89ae8a,NA
400,0.10678575725618536,#89ae8a,NA
400,-0.08923658483702525,#2D5F94,#89ae8a
400,-0.09770542897753516,#2D5F94,#89ae8a
400,-0.08691779835775652,#2D5F94,#89ae8a
400,0.10378840826316776,#89ae8a,NA
400,-0.09776102154542692,#2D5F94,#89ae8a
400,-0.11349832975516,#2D5F94,#89ae8a
400,-0.07339617339881473,#2D5F94,#89ae8a
400,-0.08942014664613793,#2D5F94,#89ae8a
400,0.09695970928339591,#89ae8a,NA
400,-0.09945022335423334,#2D5F94,#89ae8a
400,0.098179300717244,#89ae8a,NA
400,0.09084080167306754,#89ae8a,NA
400,0.10916891995104504,#89ae8a,NA
400,0.10326347573437537,#89ae8a,NA
600,-0.1345008833954667,#2D5F94,#89ae8a
600,0.1102647492103445,#89ae8a,NA
600,-0.12638196944565713,#2D5F94,#89ae8a
600,-0.12103314005636719,#2D5F94,#89ae8a
600,-0.11737387478002805,#2D5F94,#89ae8a
600,0.12972421929500558,#89ae8a,NA
600,-0.14544411320834552,#2D5F94,#89ae8a
600,0.1502336694947987,#89ae8a,NA
600,0.09948136105263987,#89ae8a,NA
